Date,AAPL,AMZN,GE,IBM,MSFT,NFLX,BA,KO,PEP,F
2010-02-26,6.248348712921143,5.920000076293945,91.68861389160156,80.3509292602539,22.1500244140625,9.435713768005371,49.55262756347656,17.891023635864258,43.311222076416016,7.825801372528076
2010-03-01,6.381794452667236,6.2270002365112305,90.7751693725586,81.24188995361328,22.420433044433594,9.95714282989502,50.211666107177734,18.07766342163086,43.976802825927734,8.272418022155762
2010-03-02,6.3775177001953125,6.276500225067139,90.7751693725586,80.51520538330078,21.987781524658203,9.854286193847656,50.556854248046875,18.087854385375977,44.23332214355469,8.145767211914062
2010-03-03,6.392175674438477,6.29449987411499,91.51734161376953,80.17401885986328,21.987781524658203,9.649999618530273,50.5647087097168,18.30164337158203,44.673221588134766,8.459063529968262
2010-03-04,6.434315204620361,6.426499843597412,91.97408294677734,80.0728988647461,22.119121551513672,9.715714454650879,51.427730560302734,18.484893798828125,44.763980865478516,8.52572250366211
2010-03-05,6.6859354972839355,6.445499897003174,93.34426879882812,80.40779876708984,22.088214874267578,9.664285659790039,53.29497146606445,18.562959671020508,44.945552825927734,8.665705680847168
2010-03-08,6.689904689788818,6.505499839782715,92.88752746582031,79.87701416015625,22.119121551513672,9.811429023742676,52.75362014770508,18.481508255004883,44.79192352294922,8.619048118591309
2010-03-09,6.810216426849365,6.440999984741211,94.14354705810547,79.33358001708984,22.25045394897461,9.991429328918457,53.18512725830078,18.386484146118164,44.93856430053711,8.532389640808105
2010-03-10,6.865792274475098,6.5254998207092285,94.25769805908203,79.37781524658203,22.381799697875977,10.182856559753418,54.92684555053711,18.393274307250977,44.98743438720703,8.545722007751465
2010-03-11,6.885948657989502,6.678999900817871,94.08645629882812,80.62895202636719,22.54404067993164,10.170000076293945,54.97391891479492,18.33852767944336,45.36448287963867,8.605714797973633
2010-03-12,6.919536590576172,6.591000080108643,97.28356170654297,80.84381866455078,22.61357879638672,9.997142791748047,54.785621643066406,18.25299644470215,45.45525360107422,8.892348289489746
2010-03-15,6.835257530212402,6.55649995803833,98.71086883544922,80.77428436279297,22.6290340423584,9.942856788635254,54.448265075683594,18.355636596679688,46.18838882446289,8.932342529296875
2010-03-16,6.853884220123291,6.5894999504089355,103.16397094726562,81.30509185791016,22.690837860107422,10.09000015258789,53.91475296020508,18.372743606567383,46.13253402709961,8.992338180541992
2010-03-17,6.843809127807617,6.566999912261963,102.9926986694336,80.73005676269531,22.891704559326172,10.131428718566895,54.43259048461914,18.420642852783203,46.48165512084961,9.398962020874023
2010-03-18,6.859992504119873,6.638000011444092,103.84904479980469,81.12185668945312,22.87625503540039,10.077142715454102,55.60157012939453,18.458280563354492,46.44674301147461,9.152320861816406
2010-03-19,6.786707401275635,6.517499923706055,103.16397094726562,80.69845581054688,22.860803604125977,10.064286231994629,55.4838981628418,18.731983184814453,46.47468566894531,8.859021186828613
2010-03-22,6.863046169281006,6.523499965667725,103.16397094726562,80.86905670166016,22.868528366088867,10.412857055664062,56.41749572753906,18.660133361816406,46.30010986328125,9.325634956359863
2010-03-23,6.9732818603515625,6.4629998207092285,104.64834594726562,81.74738311767578,23.08484649658203,10.422857284545898,56.62931442260742,18.9201602935791,46.68414306640625,9.265641212463379
2010-03-24,7.004122257232666,6.4019999504089355,105.33343505859375,81.21660614013672,22.907155990600586,10.338570594787598,56.739173889160156,18.68750762939453,46.26521301269531,9.265641212463379
2010-03-25,6.921065330505371,6.736499786376953,104.4770736694336,81.6652603149414,23.185291290283203,10.505714416503906,56.87255096435547,18.74909782409668,46.467689514160156,9.198980331420898
2010-03-26,7.050843238830566,6.752999782562256,104.7054443359375,81.67789459228516,22.914888381958008,10.614286422729492,56.95099639892578,18.697772979736328,46.49562454223633,9.23897647857666
2010-03-29,7.096343040466309,6.75600004196167,105.0479736328125,81.25454711914062,22.860803604125977,10.557143211364746,58.14353942871094,18.738834381103516,46.467689514160156,9.045661926269531
